id,video_path,frame_path_folder,label,type
Deepfakes,/media/NAS/DATASET/FaceForensics_Dec2020/FaceForensics++/video_data/data_c23/manipulated_sequences/Deepfakes/c23/videos/000_003.mp4,/media/NAS/DATASET/faceforensics++/Dec2020/v1face_data/data_raw/manipulated_sequences/Deepfakes/c23/v1faces/000_003,1,test
Deepfakes,/media/NAS/DATASET/FaceForensics_Dec2020/FaceForensics++/video_data/data_c23/manipulated_sequences/Deepfakes/c23/videos/001_870.mp4,/media/NAS/DATASET/faceforensics++/Dec2020/v1face_data/data_raw/manipulated_sequences/Deepfakes/c23/v1faces/001_870,1,train
Deepfakes,/media/NAS/DATASET/FaceForensics_Dec2020/FaceForensics++/video_data/data_c23/manipulated_sequences/Deepfakes/c23/videos/002_006.mp4,/media/NAS/DATASET/faceforensics++/Dec2020/v1face_data/data_raw/manipulated_sequences/Deepfakes/c23/v1faces/002_006,1,train
Deepfakes,/media/NAS/DATASET/FaceForensics_Dec2020/FaceForensics++/video_data/data_c23/manipulated_sequences/Deepfakes/c23/videos/003_000.mp4,/media/NAS/DATASET/faceforensics++/Dec2020/v1face_data/data_raw/manipulated_sequences/Deepfakes/c23/v1faces/003_000,1,test
Deepfakes,/media/NAS/DATASET/FaceForensics_Dec2020/FaceForensics++/video_data/data_c23/manipulated_sequences/Deepfakes/c23/videos/004_982.mp4,/media/NAS/DATASET/faceforensics++/Dec2020/v1face_data/data_raw/manipulated_sequences/Deepfakes/c23/v1faces/004_982,1,val
Deepfakes,/media/NAS/DATASET/FaceForensics_Dec2020/FaceForensics++/video_data/data_c23/manipulated_sequences/Deepfakes/c23/videos/005_010.mp4,/media/NAS/DATASET/faceforensics++/Dec2020/v1face_data/data_raw/manipulated_sequences/Deepfakes/c23/v1faces/005_010,1,train
Deepfakes,/media/NAS/DATASET/FaceForensics_Dec2020/FaceForensics++/video_data/data_c23/manipulated_sequences/Deepfakes/c23/videos/006_002.mp4,/media/NAS/DATASET/faceforensics++/Dec2020/v1face_data/data_raw/manipulated_sequences/Deepfakes/c23/v1faces/006_002,1,train
Deepfakes,/media/NAS/DATASET/FaceForensics_Dec2020/FaceForensics++/video_data/data_c23/manipulated_sequences/Deepfakes/c23/videos/007_132.mp4,/media/NAS/DATASET/faceforensics++/Dec2020/v1face_data/data_raw/manipulated_sequences/Deepfakes/c23/v1faces/007_132,1,train
Deepfakes,/media/NAS/DATASET/FaceForensics_Dec2020/FaceForensics++/video_data/data_c23/manipulated_sequences/Deepfakes/c23/videos/008_990.mp4,/media/NAS/DATASET/faceforensics++/Dec2020/v1face_data/data_raw/manipulated_sequences/Deepfakes/c23/v1faces/008_990,1,train
Deepfakes,/media/NAS/DATASET/FaceForensics_Dec2020/FaceForensics++/video_data/data_c23/manipulated_sequences/Deepfakes/c23/videos/009_027.mp4,/media/NAS/DATASET/faceforensics++/Dec2020/v1face_data/data_raw/manipulated_sequences/Deepfakes/c23/v1faces/009_027,1,train
